,noDA.24,noDA.26,noDA.34,noDA.60,DA.26,DA.34
lgc-22,699.0223768,9029.712877,7848.642454,459.9813661,15007.49905,20579.71656
lgc-25,151.5581432,155.4907565,541.7336535,425.7608516,145.0250102,88.96838693
lgc-26,489.7956711,675.8649429,597.3534473,186.7843356,655.8560156,345.2900107
lgc-27,568.8709153,838.6346952,271.4299947,104.5414306,1079.326802,1098.068041
lgc-28,159.911502,203.567675,308.12641,745.2385022,184.6991964,124.3234752
unc-49,1196.449559,1281.473526,785.2327959,487.6589724,1411.78668,1129.553088
avr-15,715.1473927,335.4284918,1291.950447,1096.66729,116.7736447,97.42388218
glc-1,423.6223586,572.2520769,1217.341838,2682.443361,435.0736211,381.1326214
lgc-32,453.4051626,513.1745558,1330.655012,445.8511936,227.1397856,284.6976517
lgc-34,2162.617329,3248.677978,5536.430087,223.3778914,2209.26096,1717.055584
lgc-39,393.6621097,290.0690625,204.4362061,160.1731074,409.0725789,201.884298
lgc-42,54.86920879,65.73364899,295.8173679,226.427898,69.09395485,39.3392749
lgc-43,604.9819548,306.845252,368.2223204,146.7921045,397.5163336,429.2571625
lgc-45,195.8374171,201.9336445,265.2510663,92.87545681,127.2433891,326.8597806
glr-4,401.3012996,206.9239673,208.6582083,107.5772801,191.3612164,104.704177
glr-5,388.4898727,214.4412262,430.2525568,164.6271497,264.2632479,151.1374589
acd-1,424.3894593,219.5409635,62.55408235,20.23954672,135.8959306,433.9004907
acd-3,231.9824646,185.5227215,143.8648629,61.02491463,172.9290337,172.426614
delm-2,232.4470579,15.90976288,5.220276962,0.735012512,13.36886727,87.21292074
del-4,42.77935532,73.11856077,6.179932471,3.087681755,48.71678267,16.93952689
unc-105,763.3104379,299.622689,552.9917907,123.7035882,256.7353395,314.6571263
egas-1,51.14779819,49.65271908,7.523369858,2.842677584,44.04422703,47.89504815
del-5,269.1814865,95.43387154,213.2894039,222.3727837,78.61238477,41.23822431
del-6,6844.476344,1481.958469,9699.580069,4834.150597,349.6266025,330.36438
del-8,23.24284089,21.1118458,154.2171796,55.42434784,21.89221263,11.93075713
del-9,336.6657535,333.7309117,68.87468129,75.37964222,469.0378064,398.3440454
del-10,617.7141212,309.2998203,258.0328342,56.85355168,761.724329,362.0793208
clh-1,1689.717064,473.94189,1424.379292,1791.951683,478.1665337,656.3858653
clh-2,211.2633483,267.789049,595.9087659,432.4717637,253.8810438,159.8006443
clh-4,185.912284,117.08922,65.40703502,46.66074898,149.5242472,108.709766
ttyh-1,1582.922262,1639.028477,2919.952131,1364.818179,2006.214654,1482.977159
best-3,316.6797299,560.0109388,1332.274562,588.3526176,427.1524863,349.546495
best-5,147.3833837,352.063492,936.0211494,916.0237894,155.234248,228.4977257
best-7,294.7856913,220.4850301,18.41173624,36.56689175,183.2265165,183.2610465
best-8,181.5071477,198.6408779,226.022052,181.1884879,67.92731351,253.9280178
best-11,0,1.101119412,2.507789953,4.312702608,0.302867143,78.02654237
best-13,536.9009022,579.4711174,1299.859004,545.9856951,381.3821204,289.0686823
best-14,4367.567528,9629.034769,4560.124245,2703.001535,4089.350868,1929.02243
best-17,621.1146503,244.1079246,612.2111075,460.2530344,191.7939844,308.4228169
best-18,195.7315532,385.7058758,417.7518246,692.7401244,339.5024382,222.7291358
best-20,0,4.037437842,308.0875901,70.87219468,0.692217415,9.379800297
best-21,90.20574293,430.0753496,3338.554782,1333.15444,59.74919593,219.3541519
best-22,562.2593712,420.3964211,930.9011125,569.20454,462.2903604,344.2079542
best-23,499.516756,404.5978221,287.5642503,150.6116527,338.3753386,393.8227981
best-26,1.212770128,79.22059452,1.842474317,1.470025024,42.05370554,64.92058485
acly-2,1030.818675,3857.994054,1403.81392,1608.713732,3703.499462,1332.298286
pmt-1,11845.32296,12848.3724,2814.074491,13561.45274,13959.17124,6247.522133
pmt-2,9015.21309,11201.94832,1038.867354,4548.271628,14610.87818,18800.75193
unc-25,2041.023275,1771.191059,2322.960066,949.8202849,1607.736083,1067.570705
cat-4,917.403825,1712.685245,1629.268888,672.5712861,1110.654485,1092.980796
gfrp-1,470.7615977,1329.215156,949.5831826,383.0704286,833.3746456,607.9743578
ptps-1,382.0708575,531.0395,164.8746343,83.12554924,328.8586705,650.3021732
pcbd-1,1194.225051,2634.472152,1219.809202,2046.977661,1432.122901,1064.173918
qdpr-1,3976.991371,7501.769114,1421.290408,2555.834175,5549.642879,4130.91003
tdc-1,353.8334993,520.8876636,310.198792,185.0127551,1108.808312,368.334632
bas-1,1783.350215,2811.680033,1052.581656,579.3408686,2400.191875,2618.699148
anmt-1,571.5761994,356.1203397,110.0228058,58.56700787,354.5547314,514.8719679
anmt-2,2114.050302,2499.071535,2734.902734,160.3599873,2306.863263,2619.021385
ace-1,628.3380642,315.6153875,348.7232691,178.7478842,290.5258538,247.5652944
amx-2,1179.984462,1488.367516,971.3202921,252.8475273,396.8738767,210.8986567
comt-1,69.49046639,121.5519275,7.740873031,5.390091755,252.8863116,34.96111025
comt-3,253.9785274,771.1911491,455.1649809,292.1534321,1106.634958,834.2068912
comt-5,139.4872136,357.6590697,47.13616605,13.08573953,910.4811515,265.1350259
gta-1,12891.77025,22315.07649,8151.819523,8605.732108,20046.52285,14617.58238
F45H10.1,751.2735164,1446.980249,949.0563244,1156.812784,1306.62045,2460.609163
daf-28,360.2259111,1828.811084,951.8360553,588.3305955,789.1711948,505.684388
ins-1,149.0985949,214.4077021,554.492717,700.1640269,197.2893631,172.4048112
ins-12,112.768423,232.6396861,13.40896245,27.15306876,149.8257049,42.59971254
ins-15,2.206407881,0,37.47638363,59.98362763,0.605734285,5.187923481
ins-17,376.4452716,758.8759415,1370.219596,2017.886196,651.0602542,708.4216498
ins-18,147.4854078,348.8307284,494.5482711,585.4250745,226.7553685,242.0618681
ins-20,24.01734627,28.3397047,34.67405299,912.9250966,8.17706047,10.46899088
ins-24,30.41743754,44.19123773,129.2927527,619.0628502,43.91467852,61.5741374
ins-27,702.9330264,1777.04431,857.5479048,651.1177296,1246.875835,1910.52559
ins-28,83.56759536,220.5926714,464.6592879,541.9588179,175.7875579,249.0480625
ins-29,59.13090825,73.58794614,140.040051,227.0231439,115.216596,113.7684745
ins-30,138.5879205,224.7095223,529.0564469,830.6679574,205.382407,328.1277244
ins-33,381.2321758,7924.101572,230.3320905,80.04730553,752.820795,1104.350687
ins-35,760.5489319,31527.17654,998.5956224,1338.727001,20073.29139,1894.340751
ins-5,271.5806982,439.7718909,247.1582781,512.0071158,805.0025411,133.7104096
ins-7,114.3780452,138.7763193,18.21984531,5.096401353,191.7046823,210.3112568
ins-9,97.78459624,119.0496971,0,12.40098626,244.7946772,125.2263779
flp-1,2356.539601,5024.696915,6368.758221,10492.0483,4012.492888,2139.504505
flp-10,328.8716075,316.4041744,587.6312408,980.4992116,255.9121641,372.9779602
flp-11,995.3156664,1611.525222,2050.442757,3552.541182,1400.237482,1150.139096
flp-12,1278.170025,2554.436292,4036.726249,6377.425083,2045.749426,1493.222589
flp-13,422.6287208,652.9090797,969.0746488,1319.652392,617.5288369,477.996839
flp-14,1266.061248,2845.032993,4390.540173,7344.099625,2303.537715,2738.340421
flp-15,542.9079811,1250.049269,1284.681593,2617.857828,954.3040613,1321.397643
flp-16,704.9164621,762.1369335,1704.139242,2600.738919,697.3495189,654.1999495
flp-17,637.6096399,726.4564088,1133.499664,1685.999848,628.8976686,338.5543112
flp-18,2194.904934,4195.935176,3605.104843,8635.464051,3671.406621,1651.060478
flp-19,590.2172604,1010.714635,1613.386181,2519.879524,915.4551647,667.7066186
flp-2,164.3243177,291.6219305,644.7225332,1295.981291,256.9965508,215.219348
flp-20,489.5993024,1012.078651,1545.530568,2149.844884,641.4500555,734.734644
flp-21,362.5834353,547.877466,1899.720041,2149.894989,422.5318053,453.562193
flp-22,678.3904754,1235.702942,2196.075466,3592.380986,1020.672564,1079.027807
flp-24,736.6108461,1669.392233,2170.961357,2762.728993,1393.497436,1265.169181
flp-25,154.6561647,249.6911615,591.2397544,509.4454674,180.1138286,193.6939663
flp-26,300.120289,461.5737006,921.923066,1359.891277,395.1865747,376.0731119
flp-27,408.8159766,670.0681726,1155.723406,2166.635496,586.9795019,498.9780259
flp-28,618.0580414,943.6292863,1592.530686,3076.872949,950.8020232,835.8406774
flp-3,327.9723144,353.2052045,535.7604262,1427.628677,306.4062556,245.2505642
flp-32,301.5823597,790.0496193,1872.541336,2942.333089,559.1616092,515.7023281
flp-33,257.40511,295.7723055,1097.379122,1199.358645,210.2713467,457.6533913
flp-34,182.6859098,146.3924012,616.2009932,571.1724385,162.3290361,101.8809225
flp-4,269.3704506,391.9455525,927.9887478,1606.202189,363.5602528,304.7465985
flp-5,805.8745006,1255.911314,1364.998517,1990.816419,956.4234267,703.1267149
flp-6,979.228498,1489.814468,2675.972582,3687.420736,1258.841944,635.0321027
flp-7,287.9245716,474.585965,650.0316498,1074.588601,436.5035879,354.8489647
flp-8,810.3819359,1996.292279,2325.735781,3302.113964,1713.730774,1160.092428
flp-9,1419.308273,2027.367181,3430.48982,5647.611711,1758.384611,1320.330656
nlp-1,184.2650888,461.9213304,676.5548332,1359.033879,313.6740099,341.2986899
nlp-10,453.937772,772.9945973,1703.945342,2128.070818,546.8711383,547.0094231
nlp-11,557.1288217,729.5003925,1762.843502,3082.469028,671.736065,502.2959369
nlp-12,611.7221265,1466.246305,1773.496338,3189.836142,1025.178496,1729.200765
nlp-13,474.8192489,746.0171837,1272.683311,2148.844264,653.8263049,662.7624564
nlp-14,946.3364281,1191.68994,2735.750548,4344.149889,1179.497096,1107.575855
nlp-15,903.5949205,1996.532291,3518.437738,4665.415005,1522.027148,1416.607875
nlp-16,1090.806915,645.8153172,956.9664887,919.2920588,698.0840969,354.6840792
nlp-17,509.2830933,1091.495118,1519.01517,2067.064934,781.5003477,1125.655713
nlp-18,810.4384326,1516.837794,2611.730702,3479.437286,1324.785784,1109.767703
nlp-19,93.11864009,92.45343743,242.4364356,355.507498,96.30752278,71.94998435
nlp-2,19.31738206,25.30104071,388.6458218,477.3765852,28.90122228,17.48412218
nlp-20,943.6503428,1867.636045,1153.407908,1389.915415,1205.070656,2353.463444
nlp-21,788.1667408,1491.872043,2657.177264,4284.149036,1134.423175,1011.68508
nlp-24,11944.88612,21353.41166,7613.570002,443.1231916,5972.722202,12225.53485
nlp-25,506.1093762,120.1861138,170.7086008,23.77484262,127.4573065,212.4535669
nlp-26,937.7680515,186.2444602,254.2078216,341.085208,88.13222418,416.0786624
nlp-27,3103.513295,9296.246388,1398.96743,2082.884968,740.6235022,815.2039302
nlp-29,3554.265831,2024.39559,654.9165579,1160.126671,1131.823749,883.5787751
nlp-3,676.0406308,933.6080236,1461.084899,1987.383446,764.3668215,555.1422815
nlp-30,1025.687301,959.7842853,126.7841595,55.53115837,1278.438302,1585.573094
nlp-31,1519.163246,7103.195734,1404.26992,449.5106031,3286.834415,1333.859529
nlp-33,8766.809399,11171.08127,3455.272732,811.4871548,15343.29623,36417.83121
nlp-34,701.7915623,469.16685,1437.185564,282.5904044,214.0797758,387.3086564
nlp-35,232.6398617,322.3932709,708.0171614,1156.98708,335.5206905,187.495728
nlp-36,3242.936607,7426.487207,4357.982096,2563.20003,4920.388631,7488.121043
nlp-37,363.1198844,595.2714657,1253.05419,1947.656591,525.8861176,325.0325728
nlp-38,1003.144095,1654.121225,3710.166908,4374.652947,1356.536016,930.7140029
nlp-40,3105.494266,7514.271304,6131.675947,5522.053481,6025.608498,7763.972827
nlp-41,184.9263257,444.3810597,1003.053758,1228.936664,285.0318846,468.3090705
nlp-42,340.3229878,397.6540674,952.4767626,1544.12513,388.4744419,266.9336973
nlp-47,468.3398972,677.490155,1042.515893,1304.781069,605.585708,575.0049403
nlp-5,110.3807306,141.1320884,236.7945608,307.3217456,133.2131917,70.49535224
nlp-6,422.9611217,732.9202105,1392.264856,1818.171771,593.0820244,561.6274862
