"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"1","WBGene00000001",512.33695555563,548.843479068838,475.830432042422,0.866969273006051,-0.205947232313775,0.499362853599198,1
"2","WBGene00000002",796.331005433647,349.703992244472,1242.95801862282,3.55431463806078,1.829571398496,3.08543906136589e-09,9.66565209957223e-08
"3","WBGene00000003",958.123319785397,1368.46654752289,547.780092047907,0.40028752843061,-1.32089142782942,0.000100756408404132,0.00148978717146323
"4","WBGene00000004",792.106668573362,869.731701546131,714.481635600593,0.821496599848495,-0.283673490974174,0.428960233706755,1
"5","WBGene00000005",876.235133747572,353.504938223272,1398.96532927187,3.95741382370249,1.9845579347034,2.11354048136919e-07,5.17070094056228e-06
"6","WBGene00000006",980.485850610296,1112.36087275494,848.610828465653,0.762891656161847,-0.390449910981748,0.35803468273449,1
"7","WBGene00000007",896.003846604716,1158.47630586489,633.531387344542,0.546866072389425,-0.870740534917223,0.00755864246220648,0.0635840689758472
"8","WBGene00000008",46.3231823214833,75.6865094191545,16.9598552238121,0.224080293224884,-2.15791231849275,0.0124819490057947,0.0959003897616569
"9","WBGene00000009",15.1175039971118,21.9280466432735,8.30696135094998,0.378828150363232,-1.40038455478734,0.112065881989947,0.507883495805837
"10","WBGene00000010",841.346668241432,663.886326031228,1018.80701045164,1.53461062610245,0.617872649699275,0.0328008207127675,0.206222981708984
"11","WBGene00000012",0.951842991995919,0,1.90368598399184,Inf,Inf,0.669727174897862,1
"12","WBGene00000013",44.4649523987299,8.28534265292869,80.6445621445311,9.73340096151908,3.28294398722793,1.46624274996772e-06,3.12891674936344e-05
"13","WBGene00000014",0.6564290679291,0.404256709101298,0.908601426756903,2.24758527515057,1.16837585376106,0.921840386255919,1
"14","WBGene00000015",43.2710258716883,72.0481990372428,14.4938527061339,0.201168841134277,-2.31352123021223,0.107607398766291,0.493699635620781
"15","WBGene00000016",269.550619138041,434.182125144756,104.919113131325,0.241647702784506,-2.04902281498683,2.42242627593935e-06,4.9750791392653e-05
"16","WBGene00000017",558.971526543357,868.5608939261,249.382159160614,0.287121099861344,-1.80026874014585,0.000111372404831981,0.00162729766886032
"17","WBGene00000018",781.169316818589,893.117979196217,669.220654440962,0.749308232539717,-0.416368792649423,0.313457974696253,0.955089497534493
"18","WBGene00000019",1.00253777542042,0.404256709101298,1.60081884173954,3.95990667736428,1.98546643088816,0.701652919485149,1
"19","WBGene00000020",845.341607634182,842.73316708626,847.950048182103,1.00619043049401,0.00890337386098946,0.974427609439164,1
"20","WBGene00000021",0.346108707491317,0,0.692217414982633,Inf,Inf,0.968565133162993,1
"21","WBGene00000022",1052.03024466043,1235.8547129355,868.205776385357,0.702514435797334,-0.509400223661635,0.660335764939553,1
"22","WBGene00000023",8.73094498594835,9.71724515463311,7.74464481726359,0.797000044150476,-0.327348290752329,0.986411840700618,1
"23","WBGene00000024",84.7081761405682,167.902016569875,1.51433571126151,0.00901916333227179,-6.79279067738623,0.592357572367097,1
"24","WBGene00000025",0,0,0,NA,NA,NA,NA
"25","WBGene00000026",1.03832612247395,0,2.0766522449479,Inf,Inf,0.852931804652415,1
"26","WBGene00000027",0.8840715657031,1.7681431314062,0,0,-Inf,0.973564268233825,1
"27","WBGene00000028",0.302867142252301,0,0.605734284504602,Inf,Inf,0.937538705293189,1
"28","WBGene00000029",222.885762946466,444.560057323924,1.2114685690092,0.00272509540398606,-8.51947754598419,0.561708257686841,1
"29","WBGene00000030",254.274838134367,500.502164309218,8.04751195951589,0.0160788754442708,-5.95868968174715,0.718232420141607,1
"30","WBGene00000031",1159.84366439557,2237.74270072016,81.9446280709687,0.0366193253784703,-4.77125097652315,0.586867815712479,1
"31","WBGene00000032",0,0,0,NA,NA,NA,NA
"32","WBGene00000033",535.500420957445,1045.90699160108,25.093850313806,0.0239924300299323,-5.38127690398216,0.603476949164448,1
"33","WBGene00000034",494.779381179885,971.214119934834,18.3446424249357,0.0188883605050621,-5.72635870741669,0.472398097889781,1
"34","WBGene00000035",459.431958961132,628.338064135422,290.525853786842,0.462371882859903,-1.11287442562129,0.036590043915143,0.224343184182224
"35","WBGene00000036",1610.94755958074,1858.13688090197,1363.75823825951,0.733938523192931,-0.446268871054767,0.14011677554359,0.589149674659366
"36","WBGene00000037",330.400929884445,356.734877195806,304.066982573084,0.852361240827559,-0.230463103523215,0.636236903323746,1
"37","WBGene00000038",102.548544547843,148.2900814605,56.8070076351861,0.383080291518472,-1.38428129011216,0.0630612622746815,0.335814385731225
"38","WBGene00000039",10583.4729739235,2650.83876010803,18516.1071877389,6.98499941466992,2.80425999473956,3.07318203776606e-34,4.42971852621555e-32
"39","WBGene00000040",9482.45072542596,10035.6050065266,8929.29644432529,0.889761647505869,-0.168509181297882,1,1
"40","WBGene00000041",21072.0652014039,19221.1881467409,22922.9422560668,1.19258716376248,0.254094713721217,0.23283086433903,0.804154491040197
"41","WBGene00000042",93.9355038286744,98.3550534012311,89.5159542561178,0.910130706664813,-0.135854344833237,0.931667790925534,1
"42","WBGene00000043",52.1094164240254,51.1327140503704,53.0861187976804,1.03820264156887,0.0540880635931647,0.967417940419566,1
"43","WBGene00000044",49.8363249622556,53.4222221461792,46.2504277783321,0.86575260107633,-0.207973278010011,0.719828608311319,1
"44","WBGene00000045",11.2997112517887,10.7448909472362,11.8545315563412,1.10327146311246,0.141787813867007,1,1
"45","WBGene00000046",50.8557482955404,66.7967015862217,34.9147950048591,0.522702381640669,-0.935938362080175,0.270303412848513,0.87875725541384
"46","WBGene00000047",380.706640428201,425.892942724531,335.520338131871,0.787804409214845,-0.344090603380202,0.350707523497367,1
"47","WBGene00000048",79.689778821418,71.2056775793404,88.1738800634956,1.23829844839618,0.308359067484372,0.746680992127101,1
"48","WBGene00000049",21.1742645305379,22.6194518061749,19.729077254901,0.872217303229037,-0.197240483698401,0.934328746063001,1
"49","WBGene00000050",82.1577751732349,85.9629673451857,78.3525830012841,0.911469036273004,-0.133734447919875,0.694899636161353,1
"50","WBGene00000051",164.038005738803,171.801146900479,156.274864577128,0.909626433795903,-0.136653915248076,0.974209172444929,1
"51","WBGene00000053",35.618277716277,31.1730190094058,40.0635364231482,1.28519911437066,0.361991891762694,0.653889130494756,1
"52","WBGene00000054",289.723035429926,288.619816528866,290.826254330985,1.00764478970521,0.0109871562533089,0.790845576054524,1
"53","WBGene00000055",344.439071086602,356.991857377202,331.886284796002,0.929674663266415,-0.105202156955307,0.768482182784073,1
"54","WBGene00000056",63.5581343159301,57.0265244883911,70.0897441434691,1.22907269507082,0.297570248270848,0.674693613509337,1
"55","WBGene00000057",42.2766350908437,46.3496496205544,38.203620561133,0.824248314148875,-0.278849063760938,0.844415212631994,1
"56","WBGene00000058",82.6753348698232,86.0460675607872,79.3046021788592,0.921652835823491,-0.117704669995617,0.74808822589922,1
"57","WBGene00000059",60.4463279915445,75.5504772603554,45.3421787227336,0.600157409548577,-0.736587153847268,0.444856044043181,1
"58","WBGene00000060",53.6135196149329,45.8773768320535,61.3496623978122,1.33725305660782,0.419272501308216,0.687914701085199,1
"59","WBGene00000061",67.808145053902,127.525712768628,8.09057733917571,0.0634427141282054,-3.97840169780686,0.000125927889628283,0.00182409110161314
"60","WBGene00000062",53.236273661065,46.9390306643564,59.5335166577735,1.26831585175833,0.342914068049418,0.608989507700755,1
"61","WBGene00000063",7206.72430596118,5148.77632976067,9264.6722821617,1.79939303803324,0.847510346171854,8.78887853894245e-07,1.96287738852142e-05
"62","WBGene00000064",9570.59736079849,7229.15840648596,11912.036315111,1.64777635864551,0.720520448730265,3.06534170085326e-05,0.000508617254671944
"63","WBGene00000065",12711.2128047671,13060.2833131345,12362.1422963996,0.946544726481326,-0.0792574165883216,0.771066572290949,1
"64","WBGene00000066",53390.0703558035,43170.8197247231,63609.320986884,1.47343324478169,0.559181699346182,0.000908201243643968,0.0105425831123592
"65","WBGene00000067",31064.8503603334,35351.8099075886,26777.8908130783,0.757468737331329,-0.400741748780706,0.771214272426211,1
"66","WBGene00000068",835.569083709184,1137.33373403604,533.804433382324,0.469347226242924,-1.0912724616285,0.0326036277559211,0.205257833366926
"67","WBGene00000069",107.599581863934,107.165600785858,108.03356294201,1.00809926086157,0.0116376984632025,0.955407718083167,1
"68","WBGene00000070",1162.89193121934,1050.32447192774,1275.45939051094,1.21434797017534,0.280181883631117,0.253390969717159,0.84420581661659
"69","WBGene00000071",324.535280885289,470.300569247885,178.769992522693,0.38011859694022,-1.3954784854804,0.000498022201506119,0.00621591152016927
"70","WBGene00000072",437.391476837881,545.102869634846,329.680084040916,0.604803427767245,-0.725461778726539,0.316358434347111,0.960315428292684
"71","WBGene00000073",485.378527293597,427.948509242719,542.808545344474,1.2683968599517,0.343006211017238,0.20943667021433,0.756746033243436
"72","WBGene00000074",579.820166178902,592.824085212296,566.816247145508,0.956128911230936,-0.0647229504725928,0.852176656897175,1
"73","WBGene00000075",401.675537629384,444.11850267379,359.232572584979,0.808866485909144,-0.30602650844118,0.522034667345013,1
"74","WBGene00000079",1715.66092545447,1717.7580536577,1713.56379725123,0.997558296177075,-0.00352694162449772,0.844924080518023,1
"75","WBGene00000080",974.071346468665,1135.75482993962,812.387862997713,0.715284532878372,-0.483410849476649,0.0683080853405902,0.356723375211639
"76","WBGene00000081",7307.85485256377,8779.51743450066,5836.19227062688,0.664750917595144,-0.589114231365457,0.0200252187659498,0.140655460360535
"77","WBGene00000082",439.639793641319,548.260952760683,331.018634521955,0.603761097439388,-0.727950293218649,0.73057874457052,1
"78","WBGene00000083",3085.5463779306,2682.82659740532,3488.26615845587,1.30022050691965,0.378756313455485,0.0706449176946348,0.365193034375236
"79","WBGene00000084",318.399996877675,436.354524985263,200.445468770087,0.459363790891951,-1.12229095336397,0.00837835254752327,0.0693375752144849
"80","WBGene00000085",73.926378953295,60.933059420605,86.919698485985,1.42647848823741,0.512457990770165,0.470176935525176,1
"81","WBGene00000086",504.906704644807,605.027207166345,404.78620212327,0.669038015693695,-0.579839905702909,0.194259556876537,0.722743988727511
"82","WBGene00000088",734.066339298378,705.365971239069,762.766707357688,1.08137724026832,0.112869897469701,0.634700676464269,1
"83","WBGene00000089",488.279207389213,515.263843708322,461.294571070104,0.89525895655747,-0.159623047924741,0.649377439230404,1
"84","WBGene00000090",592.505433127322,538.887902703325,646.122963551318,1.1989932605836,0.26182354953617,0.350788134147604,1
"85","WBGene00000092",743.772786429781,686.055993786714,801.489579072848,1.16825679876214,0.224357433104179,0.303504895584059,0.93765253408908
"86","WBGene00000093",542.956838342736,464.059273811256,621.854402874216,1.34003227166868,0.422267745172405,0.107593661515695,0.493699635620781
"87","WBGene00000094",155.509335285848,193.294768562247,117.72390200945,0.609038221184652,-0.715395325239712,0.130691251142994,0.564135760721043
"88","WBGene00000095",656.895752049614,643.873699047065,669.917805052162,1.04044909124824,0.0572063763173512,0.829941178993876,1
"89","WBGene00000096",27.7341529177496,23.798213893779,31.6700919417202,1.33077600205951,0.412267755386687,0.76550229435066,1
"90","WBGene00000097",475.793991762916,331.897773140517,619.690210385315,1.86711168478661,0.900808227654436,0.00258298128000569,0.026103407293592
"91","WBGene00000098",1118.25486185903,1034.12814999156,1202.3815737265,1.16270074819674,0.217479828843609,0.483765747244447,1
"92","WBGene00000099",409.806088084786,343.216960995354,476.395215174218,1.38802934969367,0.473038073831043,0.11513365284736,0.517715822707887
"93","WBGene00000100",3470.82363826981,3205.01765234799,3736.62962419164,1.16586865643445,0.221405267625961,0.727071010133398,1
"94","WBGene00000101",1275.15922698021,1523.99128723994,1026.32716672048,0.673446872901247,-0.57036395651244,0.0312291020755362,0.198787831195819
"95","WBGene00000102",2784.77386790539,2309.18835910827,3260.3593767025,1.4119070728217,0.497645138190476,0.0525805070593122,0.2934391955721
"96","WBGene00000103",1166.3571577618,1014.03598762611,1318.67832789748,1.30042557067876,0.378983829588102,0.157062435424042,0.633834063945013
"97","WBGene00000105",4352.99831781341,3498.27764641223,5207.71898921458,1.48865227851641,0.574006806543124,0.146116675699236,0.604403397104498
"98","WBGene00000106",1756.12036551436,1794.12828870517,1718.11244232355,0.957630763162158,-0.0624585963772371,0.901558252284604,1
"99","WBGene00000107",19661.3654907111,16360.6523419543,22962.078639468,1.40349407588018,0.489022974276995,0.00524386049011788,0.0470785258751699
"100","WBGene00000108",3.65757345817442,3.9405429719137,3.37460394443514,0.856380445153802,-0.223676241716171,0.977990687289786,1
"101","WBGene00000109",5737.72768343273,3966.90579177812,7508.54957508735,1.89279755285586,0.920520113572143,2.7240511971635e-05,0.000456176642033903
"102","WBGene00000110",3458.82067311269,3806.74059959272,3110.90074663267,0.817208492473983,-0.291223898174962,0.291143043885237,0.917023689545016
"103","WBGene00000111",1128.92774727201,1044.4309364227,1213.42455812131,1.16180449640589,0.216367318488026,0.289326280837301,0.9144299851702
"104","WBGene00000112",6124.66826696349,6998.7806339026,5250.55590002438,0.7502100972547,-0.414633414184367,0.133989496270377,0.572174893278189
"105","WBGene00000113",1028.94698320288,751.273516343526,1306.62045006223,1.73920738803837,0.798429973964335,0.000405526199128626,0.00520362536784658
"106","WBGene00000114",12912.4424896247,12818.3992945363,13006.485684713,1.01467315737752,0.0210150868519821,0.478733789527857,1
"107","WBGene00000115",5876.97183165334,5486.03201410456,6267.91164920211,1.14252188705559,0.192221802958708,0.114352198106574,0.515385554290036
"108","WBGene00000116",764.717898082509,900.187261820509,629.248534344509,0.699019594069724,-0.51659519884169,0.111364825504299,0.505314131947372
"109","WBGene00000117",858.145797796711,761.988239018358,954.303356575063,1.25238593945289,0.32467921653121,0.212048274478726,0.763067161194544
"110","WBGene00000118",3165.95931862829,3146.83376407233,3185.08487318425,1.01215542732147,0.0174308483407546,0.826994302788561,1
"111","WBGene00000120",839.066281490075,628.470531459906,1049.66203152024,1.67018496329801,0.740007881655279,0.00645381267231148,0.0558087334324469
"112","WBGene00000121",2015.0973870236,1831.19950778585,2198.99526626135,1.20084963812611,0.264055518312301,0.268121669957967,0.874325973027402
"113","WBGene00000122",4162.07642923883,4149.920812513,4174.23204596466,1.00585824032554,0.00842699461630496,0.920717720194783,1
"114","WBGene00000123",4386.03514288535,3920.03312759527,4852.03715817542,1.23775412100966,0.307724752653171,0.485557528910796,1
"115","WBGene00000133",621.999212061393,1139.07966336262,104.918760760167,0.0921083609292449,-3.4405240701174,1.17959733290958e-20,9.05707167866362e-19
"116","WBGene00000134",68.8615068049607,67.1140183124257,70.6089952974957,1.05207521577385,0.0732378505854247,0.86072963239229,1
"117","WBGene00000135",130.292952787581,134.987457867152,125.59844770801,0.930445314642617,-0.104006734084182,0.761045718096471,1
"118","WBGene00000136",808.333411333591,766.628141620746,850.038681046436,1.10880182307077,0.149001534641326,0.667672255469363,1
"119","WBGene00000137",261.527818423504,279.559968497435,243.495668349574,0.870996193261512,-0.199261681430318,0.539612293472018,1
"120","WBGene00000138",788.429169204662,1179.9844617969,396.873876612426,0.336338222630542,-1.57201535388769,0.0457383687386962,0.26599578552368
"121","WBGene00000139",247.610213835425,286.900765573362,208.319662097489,0.726103542042381,-0.461752804324975,0.133076719594415,0.569753584773188
"122","WBGene00000140",4482.97886409707,5792.50000295022,3173.45772524393,0.5478563182784,-0.868130515728588,0.243846218531773,0.824221968695727
"123","WBGene00000142",1909.50154253804,2048.03605992644,1770.96702514964,0.864714767382195,-0.209703767391788,0.254113352971171,0.845664763180973
"124","WBGene00000143",629.12075827243,687.0989986485,571.14251789636,0.83123759315583,-0.266667192530397,0.325702782601877,0.974453951003579
"125","WBGene00000144",296.84451034651,260.46171881787,333.227301875149,1.27937150759633,0.355435259012956,0.423091874661641,1
"126","WBGene00000145",319.92818681634,284.777457908756,355.078915723925,1.24686454585073,0.318304745324924,0.280108406510075,0.898082288612746
"127","WBGene00000146",1744.7844319914,1853.06639308537,1636.50247089742,0.88313213007583,-0.179298791617979,0.803046570914365,1
