,WT - sbt-1(ok901),WT - sbt-1(ok901); sbt-1(+) line 1,WT - sbt-1(ok901); sbt-1(+) line 2
median,0.322933186585,0.0277767712187,0.120989135075
_hpd,0.3354776100854649,0.050437672201467,0.1406945443992923
hpd_,0.3082677708707352,0.006881967337509454,0.10211670081317992
mean,0.32235509763984904,0.0278762128998995,0.12075436848772281
std,0.026001185451707494,0.02945702408925603,0.028778033977618456
