,sbt-1(ok901),sbt-1(ok901); sbt-1(+) line 1,sbt-1(ok901); sbt-1(+) line 2,WT
median,0.167384190925,0.462540606291,0.369328242435,0.49031737751
_hpd,0.125702643028601,0.4107425809125989,0.3204857087147736,0.4611802531140659
hpd_,0.2099725923568372,0.5113583958900629,0.41612366241439247,0.5182403632275724
mean,0.1679057409016102,0.46238462564155974,0.36950647005373644,0.49026083854145924
std,0.021593456244606447,0.02578115619876227,0.024684279490126103,0.014412214106433953
