"","noDA.24","noDA.26","noDA.34","noDA.60","DA.26","DA.34"
"WBGene00006601",9609.652553,18630.95547,9585.769157,6890.14158,15494.04385,18696.71211
"WBGene00006602",1214.263182,1038.194982,1629.347331,1353.402006,700.8088441,311.877077
"WBGene00006604",1681.677183,3945.210039,1325.111169,2089.569216,4104.791454,977.8647011
"WBGene00006606",929.7089711,1136.132833,607.3455863,496.2796586,956.637344,641.7396663
"WBGene00006607",2305.512751,1818.122718,1957.090256,1288.202505,1875.586443,1883.980775
"WBGene00006609",1543.104896,1146.690481,384.2933486,471.7667345,1382.792279,799.5553514
"WBGene00006610",313.589113,487.8770377,168.034733,78.27100603,430.9203166,317.4447103
"WBGene00006611",65.2589352,49.97034738,2564.262937,249.2745562,53.9950726,71.37685264
"WBGene00006613",1793.376822,801.8760314,1057.315702,930.95811,1132.988628,1172.053724
"WBGene00006620",261.3042403,98.7760497,112.9141768,36.90769537,138.1882621,54.98192104
"WBGene00006621",55.89685458,286.7268843,110.6879206,76.41463718,147.2305062,145.591228
"WBGene00006622",124.2047192,53.06371868,1520.088072,44.99283301,20.72380944,74.12123142
"WBGene00006623",18.61089276,19.53604522,428.0767219,23.08694333,14.36395183,17.0255367
"WBGene00006626",12908.4904,13722.73696,3355.261498,3770.251176,16759.07142,11658.15127
"WBGene00006629",229.0278799,70.48575646,167.023853,193.4104593,26.60783366,12.9339379
"WBGene00006632",77.00130367,117.8374137,1601.04229,284.8174641,88.95328535,31.77954831
"WBGene00006633",488.0313677,482.7631862,895.2830212,266.6698524,447.2754947,333.3160484
"WBGene00006634",1657.955489,2820.646089,4103.240433,853.4173202,1753.550365,1808.523388
"WBGene00006635",930.9483446,1302.781221,446.0420513,487.6354543,1181.955698,986.4272077
"WBGene00006636",1022.813077,1390.747245,81.29817519,114.456273,1404.471632,1233.906893
"WBGene00006637",176.6673115,171.7922649,595.4475448,186.7780436,84.49676135,73.85606788
"WBGene00006638",787.0370709,1117.050286,1545.389299,1320.736304,908.7447939,860.9209976
"WBGene00006639",49.2625468,111.1530575,211.4349267,179.0384286,79.52204331,117.6523832
"WBGene00006640",1090.769067,2255.646481,938.3114362,213.0500411,3174.202094,2733.827909
"WBGene00006641",587.6406039,539.1584914,922.0615238,419.5336558,500.2327697,219.4758323
"WBGene00006643",37.99629089,158.4711906,33.66317302,28.57440755,111.4078145,55.00332337
"WBGene00006646",203.25007,160.9081221,562.8590816,255.2504558,96.43707131,142.5888198
"WBGene00006648",590.1341602,759.4317852,1200.069846,1388.164284,704.1460206,1168.813087
"WBGene00006649",765.8341625,1318.661006,2014.870669,1286.201728,914.4929269,775.0192256
"WBGene00006650",3006.455487,3854.796301,27825.36078,721895.6362,1975.079394,1752.447945
"WBGene00006651",2607.067408,3794.224141,12140.14044,261.0897347,5237.924582,4233.435826
"WBGene00006656",212.9823993,138.9157355,837.0113573,298.7874209,57.32625879,129.9057772
"WBGene00006660",229.1488279,141.9791052,965.8605146,2491.727639,96.0494829,130.3786309
"WBGene00006662",572.6869454,505.4949483,2759.876176,4583.267822,481.7141039,285.8942545
"WBGene00006663",1075.939921,620.7030803,465.2185399,317.9369943,708.7649397,819.1679158
"WBGene00006667",261.7765131,170.5393884,358.6009563,185.8985454,111.7971648,101.3291931
"WBGene00006671",311.4847293,340.9993638,570.6247636,135.3601238,313.3686761,210.4115348
"WBGene00006672",2165.817649,689.1418776,2312.978726,283.0380186,1058.913965,656.8087802
"WBGene00006674",96.2166616,32.36302839,36.7468366,28.28229016,3.807371968,4.915625835
"WBGene00006675",258.1985392,155.9407319,371.6907699,362.3235704,156.4030036,105.7144919
