id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
WBGene00000660,29.85963756,0.404256709,59.31501842,146.72612,7.196981911,2.19E-20,1.64E-18
WBGene00018211,414.968827,5.659593927,824.2780601,145.6426151,7.186288741,1.08E-58,3.97E-56
WBGene00017225,115.4816828,1.617026836,229.3463387,141.8321165,7.148040444,2.09E-12,8.90E-11
WBGene00010474,143.0068044,2.021283546,283.9923252,140.5009831,7.134436414,7.16E-13,3.18E-11
WBGene00000851,814.1959637,11.68943652,1616.702491,138.3045699,7.111705017,3.78E-88,5.22E-85
WBGene00008293,81.6252315,1.178762088,162.0717009,137.4931402,7.103215831,3.04E-07,7.30E-06
WBGene00016776,82.33374819,1.212770127,163.4547263,134.7779951,7.07444116,4.18E-07,9.80E-06
WBGene00019527,789.6664905,11.80654478,1567.526436,132.7675849,7.052759147,2.91E-74,2.53E-71
WBGene00000627,75.47529119,1.212770127,149.7378122,123.4675961,6.947988648,4.61E-38,7.52E-36
WBGene00010463,151.9305656,2.610664589,301.2504667,115.3922522,6.85040255,6.34E-12,2.62E-10
WBGene00022403,23.28339594,0.404256709,46.16253516,114.1911417,6.835306929,1.26E-07,3.20E-06
WBGene00015723,68.18529945,1.212770127,135.1578288,111.4455458,6.800195147,1.58E-19,1.10E-17
WBGene00008786,66.69320117,1.212770127,132.1736322,108.984901,6.767984464,7.43E-06,0.000139071
WBGene00077565,32.02920435,0.589381044,63.46902765,107.6875959,6.75070827,2.46E-11,9.57E-10
WBGene00017231,373.4730667,7.208604684,739.7375287,102.6186843,6.681149624,1.11E-42,2.20E-40
WBGene00011508,511.5944379,10.07240969,1013.116466,100.5833259,6.652247353,4.48E-66,2.51E-63
WBGene00009990,151.251211,2.980913259,299.5215088,100.4797801,6.650761402,3.04E-30,3.59E-28
WBGene00000736,705.7236556,14.38320133,1397.06411,97.13165226,6.601869598,1.34E-80,1.43E-77
WBGene00009871,28.91387361,0.589381044,57.23836617,97.11606231,6.601638022,0.000187551,0.002613589
WBGene00019570,384.0962529,7.866001808,760.326504,96.65984354,6.594844754,7.46E-39,1.28E-36
WBGene00015725,660.9826842,13.74472811,1308.22064,95.1798122,6.572583703,4.90E-60,1.95E-57
WBGene00018414,190.8951409,4.042567091,377.7477147,93.44253445,6.5460075,4.20E-25,3.90E-23
WBGene00021496,79.31702336,1.802151171,156.8318955,87.02482792,6.443355151,1.68E-24,1.52E-22
WBGene00194768,246.8590255,5.659593927,488.0584572,86.2355963,6.430211602,1.23E-55,4.02E-53
WBGene00044352,123.3770024,2.829796964,243.9242079,86.19848387,6.429590589,8.41E-10,2.84E-08
WBGene00185096,35.16673721,0.808513418,69.52496101,85.99110348,6.426115503,7.51E-07,1.69E-05
WBGene00008289,50.83697489,1.212770127,100.4611796,82.83612647,6.372188188,9.31E-05,0.001388664
WBGene00019178,16.12383364,0.404256709,31.84341057,78.77027111,6.299579336,1.26E-16,7.31E-15
WBGene00044024,2383.188284,61.66231239,4704.714255,76.29805099,6.253574299,3.62E-94,7.08E-91
WBGene00008161,77.48212859,2.021283546,152.9429736,75.66626364,6.241578302,8.22E-07,1.84E-05
WBGene00189956,76.20465247,2.021283546,150.3880214,74.40223898,6.217274132,1.64E-15,8.82E-14
WBGene00000684,1027.558518,27.79168881,2027.325347,72.94718077,6.188780317,1.10E-59,4.15E-57
WBGene00015721,228.3812035,6.468107346,450.2942997,69.61762933,6.121380782,4.10E-34,5.87E-32
WBGene00195017,118.544783,3.536286263,233.5532797,66.04478889,6.045372828,3.93E-26,3.82E-24
WBGene00016371,138.6396339,4.193683386,273.0855843,65.11831228,6.024991404,4.54E-11,1.74E-09
WBGene00015394,92.20498134,2.829796964,181.5801657,64.16720635,6.003764269,6.35E-22,5.29E-20
WBGene00189995,282.086023,9.044763895,555.1272821,61.37554153,5.939591944,2.53E-41,4.79E-39
WBGene00020232,67.3202733,2.20640788,132.4341387,60.02250985,5.907431742,3.46E-20,2.56E-18
WBGene00021801,33.36310192,1.178762088,65.54744175,55.60701556,5.797195004,7.01E-06,0.000131248
WBGene00000612,163.4908084,5.961826517,321.0197904,53.84587918,5.750764035,1.08E-46,2.64E-44
WBGene00005617,43.94343427,1.617026836,86.26984171,53.35090288,5.737440782,1.82E-11,7.23E-10
WBGene00001075,141.6394584,5.255337218,278.0235797,52.90309035,5.725280095,1.92E-09,6.17E-08
WBGene00018630,624.1942894,23.91532215,1224.473257,51.2003664,5.678082229,6.42E-39,1.11E-36
WBGene00022713,41.07072509,1.583018797,80.55843139,50.88911866,5.669285301,3.89E-23,3.32E-21
WBGene00018459,1569.955768,60.76685899,3079.144676,50.67144702,5.663101123,1.16E-62,5.54E-60
WBGene00007229,247.6974206,9.702161018,485.6926803,50.06025764,5.645593811,2.70E-17,1.63E-15
WBGene00009710,138.3789494,5.440461553,271.3174372,49.87029768,5.64010891,1.12E-17,6.98E-16
WBGene00022757,51.34907123,2.021283546,100.6768589,49.80838,5.638316583,0.000541474,0.006699279
WBGene00010469,10.26098975,0.404256709,20.11772279,49.7647221,5.637051482,1.02E-05,0.00018636
WBGene00019524,149.6116938,6.063850637,293.159537,48.34544163,5.595307963,1.63E-21,1.33E-19
WBGene00194699,29.72381517,1.212770127,58.23486022,48.01805297,5.585505001,0.000706803,0.008476945
WBGene00044374,190.0272398,8.017118103,372.0373615,46.40537369,5.536219972,5.39E-14,2.66E-12
WBGene00004932,37.36701646,1.617026836,73.11700608,45.2169404,5.49879147,4.47E-15,2.35E-13
WBGene00194737,27.43025036,1.212770127,53.64773059,44.23569593,5.467139115,5.46E-05,0.00085991
WBGene00016136,332.5563205,14.70435782,650.4082831,44.23234874,5.467029946,1.21E-21,9.95E-20
WBGene00020277,233.9749726,10.81290703,457.1370381,42.27697852,5.401800368,2.19E-14,1.10E-12
WBGene00015870,42.83060691,1.987275506,83.67393831,42.10485062,5.395914541,0.000816429,0.009619864
WBGene00220261,1050.196513,49.09634637,2051.296679,41.78104545,5.384776687,1.37E-44,3.04E-42
WBGene00044796,639.027706,29.89607257,1248.159339,41.74994346,5.383702339,1.05E-30,1.27E-28
WBGene00001922,55.45342413,2.610664589,108.2961837,41.48222798,5.374421477,7.52E-16,4.13E-14
WBGene00011104,467.6073078,22.11317098,913.1014446,41.29219846,5.367797327,1.56E-38,2.63E-36
WBGene00011548,7450.59197,353.5010985,14547.68284,41.15314749,5.36293087,2.38E-91,3.72E-88
WBGene00194704,53.33594476,2.57665655,104.095233,40.39934348,5.336259943,6.72E-10,2.28E-08
WBGene00001728,49.66851773,2.425540255,96.91149521,39.95460188,5.320289774,1.32E-20,1.01E-18
WBGene00000853,514.5403815,25.24520053,1003.835562,39.76342201,5.313370014,2.27E-54,7.10E-52
WBGene00000758,16.45515813,0.808513418,32.10180285,39.70472491,5.311238795,2.62E-10,9.26E-09
WBGene00000930,76.26554863,3.789426677,148.7416706,39.25176109,5.294685479,6.41E-08,1.72E-06
WBGene00011948,953.9298581,47.62659606,1860.23312,39.05870404,5.287572177,9.12E-44,1.91E-41
WBGene00013450,59.50281849,3.014921298,115.9907157,38.47222007,5.265745179,1.35E-09,4.44E-08
WBGene00009849,129.0547882,6.65323168,251.4563448,37.79461725,5.240108874,1.16E-19,8.18E-18
WBGene00008360,83.63878007,4.378807721,162.8987524,37.20162263,5.217293644,6.15E-14,3.01E-12
WBGene00009997,199.2192239,10.44265836,387.9957894,37.15488683,5.21548007,1.41E-17,8.68E-16
WBGene00015910,845.9199067,44.34728998,1647.492524,37.14979031,5.215282162,1.44E-41,2.74E-39
WBGene00017634,98.53125154,5.187321139,191.8751819,36.98926224,5.209034621,1.70E-16,9.76E-15
WBGene00021002,2866.072091,154.7052569,5577.438925,36.05203235,5.172008685,1.18E-65,6.17E-63
WBGene00001718,100.258993,5.440461553,195.0775244,35.85679679,5.164174708,1.99E-21,1.60E-19
WBGene00014103,21.63323783,1.212770127,42.05370554,34.67574324,5.1158549,0.000530208,0.006583773
WBGene00008673,141.0964875,7.983110063,274.209865,34.34875166,5.102185763,4.57E-09,1.40E-07
WBGene00001696,97.82654033,5.591577848,190.0615028,33.99067454,5.087067087,7.11E-20,5.13E-18
WBGene00001712,214.7947832,12.42993386,417.1596325,33.56088915,5.068709033,4.37E-41,8.19E-39
WBGene00019567,34.67037427,2.021283546,67.319465,33.30530501,5.057680089,2.39E-09,7.54E-08
WBGene00019331,13.81618936,0.808513418,26.82386529,33.17677195,5.052101616,2.92E-05,0.0004867
WBGene00009338,16.91553789,0.993637753,32.83743802,33.04769562,5.046477773,1.67E-07,4.17E-06
WBGene00015682,33.48531943,1.987275506,64.98336336,32.69972541,5.031206616,3.57E-08,9.84E-07
WBGene00015911,382.9074466,22.7705681,743.0443252,32.63178687,5.028206084,1.79E-21,1.45E-19
WBGene00021337,62.29670904,3.755418637,120.8379994,32.17697176,5.007956653,2.86E-22,2.41E-20
WBGene00009891,75.43438963,4.631948135,146.2368311,31.57134469,4.980543804,1.06E-06,2.34E-05
WBGene00000745,1503.137968,93.50781266,2912.768123,31.14999742,4.961160139,8.37E-67,5.17E-64
WBGene00022517,7827.002194,492.4022209,15161.60217,30.79109216,4.944441136,5.72E-80,5.60E-77
WBGene00019851,19.18841563,1.212770127,37.16406114,30.64394505,4.937530134,1.23E-08,3.57E-07
WBGene00016132,335.5307668,21.22155734,649.8399763,30.62169122,4.936482059,2.31E-20,1.73E-18
WBGene00019306,512.03298,32.55582934,991.5101307,30.45568646,4.928639718,6.66E-32,8.60E-30
WBGene00001719,3134.461266,200.7414295,6068.181102,30.22884273,4.917853843,2.94E-66,1.72E-63
WBGene00011691,21.74821362,1.397894462,42.09853277,30.11567319,4.912442603,0.000535311,0.006633388
WBGene00003888,1886.500766,121.5828102,3651.418722,30.03235998,4.908445943,1.06E-51,3.19E-49
WBGene00009303,161.8960813,10.51067444,313.2814882,29.80603101,4.897532373,9.50E-18,5.95E-16
WBGene00050943,678.2943266,44.06014152,1312.528512,29.78947562,4.896730823,5.36E-48,1.40E-45
WBGene00007560,3340.269957,217.1119064,6463.428008,29.77003019,4.89578878,5.03E-66,2.75E-63
WBGene00018382,56.78015004,3.755418637,109.8048814,29.23905217,4.86982464,1.98E-05,0.000341386
WBGene00009791,1604.875273,106.1870472,3103.563499,29.22732651,4.869245964,8.78E-58,3.03E-55
WBGene00014905,104.6300721,6.95546427,202.3046799,29.08571909,4.862239067,9.60E-10,3.23E-08
WBGene00185116,41.73717955,2.829796964,80.64456214,28.49835631,4.832806807,1.80E-07,4.45E-06
WBGene00044633,44.2962728,3.014921298,85.57762429,28.38469593,4.827041382,9.80E-05,0.00145436
WBGene00017560,1242.016347,84.91639765,2399.116297,28.25268574,4.820316114,2.43E-48,6.56E-46
WBGene00044074,54.93759057,3.789426677,106.0857545,27.99519914,4.807107538,2.03E-06,4.21E-05
WBGene00016921,161.5696022,11.33427199,311.8049323,27.50992147,4.781880116,2.43E-12,1.03E-10
WBGene00009759,25.13409471,1.768143131,48.50004628,27.42993224,4.777679153,0.000653361,0.007912746
WBGene00011950,241.0218431,17.02787396,465.0158123,27.3090941,4.771309553,1.42E-13,6.75E-12
WBGene00021805,218.8967545,15.64506363,422.1484454,26.98285256,4.75397097,7.96E-21,6.19E-19
WBGene00009872,191.1860523,13.75981225,368.6122923,26.78904957,4.743571493,7.90E-11,2.95E-09
WBGene00002118,10416.92016,760.5489319,20073.29139,26.39316229,4.722092312,2.37E-80,2.43E-77
WBGene00014047,383.3547826,28.26012183,738.4494434,26.1304409,4.707659563,1.72E-27,1.79E-25
WBGene00013891,2887.736428,213.5566962,5561.91616,26.04421336,4.702890957,2.26E-61,9.82E-59
WBGene00003057,12624.98982,938.7353609,24311.24428,25.89786781,4.69476142,4.36E-81,4.88E-78
WBGene00018406,142.2076733,10.59377465,273.8215719,25.84740386,4.691947477,1.10E-20,8.44E-19
WBGene00018809,342.5117726,25.83458158,659.1889637,25.51575925,4.673316666,2.66E-18,1.73E-16
