id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
WBGene00002098,29.99181381,0,59.98362763,Inf,Inf,0.000493043,0.003146935
WBGene00005106,45.87311771,0,91.74623542,Inf,Inf,0.00013337,0.000958858
WBGene00005983,35.0120398,0,70.02407959,Inf,Inf,0.001360704,0.007871633
WBGene00007466,173.6420448,0,347.2840895,Inf,Inf,1.57E-17,3.71E-16
WBGene00007535,942.1936569,0,1884.387314,Inf,Inf,7.12E-81,1.33E-78
WBGene00009497,58.02595378,0,116.0519076,Inf,Inf,2.83E-07,3.02E-06
WBGene00009599,219.6934293,0,439.3868587,Inf,Inf,8.25E-20,2.18E-18
WBGene00010432,252.0449909,0,504.0899819,Inf,Inf,4.99E-23,1.56E-21
WBGene00011157,352.0090521,0,704.0181042,Inf,Inf,5.67E-27,2.16E-25
WBGene00011245,130.6013801,0,261.2027601,Inf,Inf,1.79E-18,4.48E-17
WBGene00013771,8.676450965,0,17.35290193,Inf,Inf,0.000287575,0.001934691
WBGene00014049,172.4539511,0,344.9079022,Inf,Inf,6.36E-13,1.13E-11
WBGene00014180,23.45051706,0,46.90103412,Inf,Inf,1.00E-06,9.98E-06
WBGene00015071,124.2430692,0,248.4861384,Inf,Inf,1.45E-11,2.32E-10
WBGene00015825,92.61944157,0,185.2388831,Inf,Inf,4.64E-12,7.71E-11
WBGene00015830,835.9551711,0,1671.910342,Inf,Inf,1.15E-60,1.27E-58
WBGene00019815,49.15554439,0,98.31108878,Inf,Inf,7.37E-06,6.49E-05
WBGene00022818,14.06811573,0,28.13623146,Inf,Inf,0.001314013,0.007640949
WBGene00044189,155.1780111,0,310.3560221,Inf,Inf,6.52E-15,1.32E-13
WBGene00044479,151.6694178,0,303.3388356,Inf,Inf,7.70E-12,1.26E-10
WBGene00044518,1075.206501,0,2150.413003,Inf,Inf,1.56E-62,1.81E-60
WBGene00195181,33.74541126,0,67.49082252,Inf,Inf,3.26E-08,3.82E-07
WBGene00195232,42.33939481,0,84.67878963,Inf,Inf,1.66E-05,0.000138558
WBGene00206495,109.8993142,0,219.7986283,Inf,Inf,6.73E-17,1.54E-15
WBGene00206499,1207.674321,0,2415.348641,Inf,Inf,1.04E-71,1.47E-69
WBGene00219296,54.30141848,0,108.602837,Inf,Inf,5.63E-05,0.000432716
WBGene00219445,342.8810159,0,685.7620318,Inf,Inf,9.35E-28,3.69E-26
WBGene00219446,124.832771,0,249.665542,Inf,Inf,8.36E-16,1.79E-14
WBGene00219447,685.0050357,0,1370.010071,Inf,Inf,8.76E-57,8.42E-55
WBGene00219624,31.17050795,0,62.3410159,Inf,Inf,0.000780034,0.004772723
WBGene00219646,33.17844104,0,66.35688209,Inf,Inf,0.001003775,0.005985607
WBGene00219714,230.6856223,0,461.3712447,Inf,Inf,4.17E-18,1.02E-16
WBGene00045459,8201.994061,0.841720973,16403.1464,19487.62942,14.25027098,1.28E-187,5.22E-184
WBGene00008396,3619.812997,0.841720973,7238.784273,8599.980874,13.07011774,3.94E-129,3.20E-126
WBGene00013351,5628.643992,2.417521554,11254.87046,4655.540895,12.18473308,1.52E-160,2.65E-157
WBGene00009892,27210.00133,18.41022005,54401.59243,2954.966985,11.5289263,1.49E-234,3.64E-230
WBGene00004996,3941.072068,2.784561358,7879.359575,2829.659167,11.46641258,5.57E-145,6.18E-142
WBGene00006419,19768.84611,14.72041206,39522.9718,2684.909338,11.39065766,1.27E-216,1.55E-212
WBGene00002013,20052.33432,20.97949868,40083.68914,1910.612344,10.89981938,6.31E-209,3.85E-205
WBGene00235324,567.1549482,0.841720973,1133.468175,1346.607975,10.3951142,3.55E-40,2.14E-38
WBGene00009464,245.6808835,0.367039804,490.9947272,1337.715207,10.38555529,3.47E-19,8.98E-18
WBGene00019016,26730.6529,44.0094791,53417.29633,1213.767975,10.24527695,3.85E-213,3.13E-209
WBGene00044359,797.2531773,1.683441947,1592.822913,946.1703836,9.885956193,4.13E-55,3.85E-53
WBGene00045398,1132.725008,2.892202724,2262.557813,782.2957202,9.611570262,3.28E-68,4.21E-66
WBGene00019179,17202.42617,45.45822836,34359.39412,755.845429,9.561947422,7.95E-193,3.88E-189
WBGene00219297,117.1636119,0.367039804,233.960184,637.424556,9.316110788,9.80E-09,1.20E-07
WBGene00021478,1772.795139,6.454959396,3539.13532,548.2815774,9.098773189,3.87E-81,7.32E-79
WBGene00009600,1667.29447,7.360206029,3327.228734,452.056467,8.820359183,7.40E-72,1.06E-69
WBGene00189961,1522.694703,7.360206029,3038.029201,412.7641521,8.68917387,2.26E-113,1.13E-110
WBGene00021479,516.3282754,2.569278627,1030.087272,400.9247038,8.647187505,1.41E-37,7.78E-36
WBGene00018618,136.8257499,0.734079608,272.9174201,371.7817759,8.538312243,4.95E-34,2.44E-32
WBGene00003529,290.7810486,1.575800581,579.9862965,368.0581817,8.523790032,5.51E-50,4.59E-48
WBGene00019178,28169.89568,152.7008993,56187.09045,367.9552034,8.523386326,4.49E-174,9.95E-171
WBGene00044246,142.6010664,0.841720973,284.3604119,337.8321568,8.400162848,4.89E-13,8.77E-12
WBGene00016694,60.09411818,0.367039804,119.8211966,326.4528678,8.350730905,4.48E-07,4.66E-06
WBGene00235092,2557.782796,17.09381791,5098.471774,298.2640743,8.220446406,4.58E-108,1.75E-105
WBGene00219298,489.455808,3.303358234,975.6082578,295.3383159,8.206224727,4.22E-35,2.14E-33
WBGene00012400,54.29412598,0.367039804,108.2212122,294.8487086,8.203831065,0.000185751,0.00130282
WBGene00005105,54.11743213,0.367039804,107.8678245,293.8859038,8.199112352,0.000144968,0.001037962
