id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
WBGene00000682,34.57049905,0,69.1409981,Inf,Inf,2.20E-32,8.69E-30
WBGene00001245,50.21314519,0,100.4262904,Inf,Inf,8.97E-05,0.002274623
WBGene00001603,42.47069782,0,84.94139564,Inf,Inf,0.000378341,0.007751472
WBGene00001944,133.9506038,0,267.9012075,Inf,Inf,3.33E-11,3.27E-09
WBGene00006052,79.96829643,0,159.9365929,Inf,Inf,3.60E-09,2.44E-07
WBGene00008508,52.24824342,0,104.4964868,Inf,Inf,8.14E-05,0.00210495
WBGene00012207,64.68772505,0,129.3754501,Inf,Inf,1.35E-05,0.000435739
WBGene00012684,101.1106015,0,202.2212031,Inf,Inf,5.20E-09,3.39E-07
WBGene00013771,165.809228,0,331.618456,Inf,Inf,8.12E-13,9.72E-11
WBGene00017172,63.01450133,0,126.0290027,Inf,Inf,1.79E-05,0.000566353
WBGene00017175,63.56266367,0,127.1253273,Inf,Inf,1.18E-05,0.000388107
WBGene00019406,48.70480698,0,97.40961395,Inf,Inf,2.41E-05,0.000729948
WBGene00019912,96.8973224,0,193.7946448,Inf,Inf,1.23E-07,6.28E-06
WBGene00020840,73.18959198,0,146.379184,Inf,Inf,8.38E-07,3.52E-05
WBGene00020841,48.57222521,0,97.14445042,Inf,Inf,0.000157523,0.003692285
WBGene00021113,80.73861741,0,161.4772348,Inf,Inf,2.95E-07,1.37E-05
WBGene00021398,109.0760238,0.302867142,217.8491805,719.2895832,9.490428901,3.09E-09,2.17E-07
WBGene00021627,2292.959839,7.181975912,4578.737701,637.5317541,9.316353391,3.42E-91,7.49E-88
WBGene00019672,95.30735772,0.302867142,190.3118483,628.3674316,9.295464597,1.18E-08,7.10E-07
WBGene00018135,411.4545423,1.38443483,821.5246498,593.400738,9.212862911,3.69E-31,1.41E-28
WBGene00010651,85.70183173,0.302867142,171.1007963,564.9368071,9.141945689,2.46E-07,1.15E-05
WBGene00022751,68.45413641,0.302867142,136.6054057,451.0406928,8.817113789,5.10E-07,2.23E-05
WBGene00022754,55.831934,0.302867142,111.3610008,367.6892779,8.522343297,0.000118217,0.002872194
WBGene00006053,54.74274341,0.302867142,109.1826197,360.4967474,8.493842433,5.12E-05,0.00141049
WBGene00015306,53.76829933,0.302867142,107.2337315,354.0619518,8.467858007,0.00030199,0.006405441
WBGene00007248,49.94543113,0.302867142,99.58799512,328.8174292,8.361142962,0.000420281,0.008494972
WBGene00016839,48.08591957,0.302867142,95.868972,316.5380414,8.306235082,0.000462026,0.009181525
WBGene00009754,263.4497231,1.687301972,525.2121443,311.2733541,8.282038273,8.96E-20,1.94E-17
