id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
WBGene00000690,41.37843381,0,82.75686763,Inf,Inf,3.78E-13,7.53E-12
WBGene00000758,22139.96606,0,44279.93213,Inf,Inf,1.40E-240,4.21E-237
WBGene00006419,4149.401573,0,8298.803146,Inf,Inf,2.23E-178,1.45E-175
WBGene00007535,1257.740225,0,2515.48045,Inf,Inf,2.73E-84,6.33E-82
WBGene00007930,56.68089424,0,113.3617885,Inf,Inf,7.43E-07,7.83E-06
WBGene00008054,73.07157337,0,146.1431467,Inf,Inf,6.98E-06,6.43E-05
WBGene00008394,54.28835934,0,108.5767187,Inf,Inf,0.000234672,0.001665286
WBGene00008908,163.1084946,0,326.2169893,Inf,Inf,3.19E-28,1.59E-26
WBGene00008972,38.53798604,0,77.07597208,Inf,Inf,4.04E-10,6.20E-09
WBGene00009338,218.2863771,0,436.5727541,Inf,Inf,5.14E-26,2.32E-24
WBGene00009486,486.1547881,0,972.3095761,Inf,Inf,3.45E-40,2.73E-38
WBGene00009497,48.3072229,0,96.61444579,Inf,Inf,1.70E-06,1.70E-05
WBGene00011157,61.28778288,0,122.5755658,Inf,Inf,6.47E-15,1.47E-13
WBGene00011168,61.84374449,0,123.687489,Inf,Inf,2.10E-08,2.68E-07
WBGene00011245,194.5279092,0,389.0558184,Inf,Inf,2.77E-19,8.72E-18
WBGene00011666,40.99495315,0,81.9899063,Inf,Inf,0.000383585,0.002608403
WBGene00012311,51.21170125,0,102.4234025,Inf,Inf,2.78E-08,3.48E-07
WBGene00012656,81.18322135,0,162.3664427,Inf,Inf,1.85E-06,1.84E-05
WBGene00013050,658.3724021,0,1316.744804,Inf,Inf,4.24E-41,3.44E-39
WBGene00014045,1066.134575,0,2132.26915,Inf,Inf,3.17E-57,4.21E-55
WBGene00014050,72.04178544,0,144.0835709,Inf,Inf,1.85E-08,2.36E-07
WBGene00015042,16.14075904,0,32.28151809,Inf,Inf,0.00046257,0.003101767
WBGene00015071,41.48108356,0,82.96216712,Inf,Inf,5.74E-08,6.91E-07
WBGene00015406,278.1288761,0,556.2577521,Inf,Inf,7.31E-20,2.39E-18
WBGene00015596,13.53052016,0,27.06104032,Inf,Inf,0.000782312,0.004981225
WBGene00015726,20.03670739,0,40.07341478,Inf,Inf,9.47E-07,9.84E-06
WBGene00017200,93.64543482,0,187.2908696,Inf,Inf,4.22E-13,8.40E-12
WBGene00017345,148.5997122,0,297.1994245,Inf,Inf,7.56E-14,1.58E-12
WBGene00018105,75.2787208,0,150.5574416,Inf,Inf,1.39E-06,1.41E-05
WBGene00018477,76.82645362,0,153.6529072,Inf,Inf,2.59E-06,2.53E-05
WBGene00018618,1041.923598,0,2083.847197,Inf,Inf,1.81E-60,2.55E-58
WBGene00019179,31575.13987,0,63150.27974,Inf,Inf,1.15E-271,4.62E-268
WBGene00019202,75.15065963,0,150.3013193,Inf,Inf,1.19E-13,2.45E-12
WBGene00019471,34.79561069,0,69.59122139,Inf,Inf,0.0001402,0.001037328
WBGene00019815,31.78248116,0,63.56496232,Inf,Inf,7.70E-05,0.000596771
WBGene00020535,98.00920805,0,196.0184161,Inf,Inf,1.25E-17,3.46E-16
WBGene00020982,207.1110779,0,414.2221558,Inf,Inf,1.05E-15,2.53E-14
WBGene00021449,21.04748696,0,42.09497392,Inf,Inf,6.48E-07,6.89E-06
WBGene00021961,306.8264888,0,613.6529775,Inf,Inf,6.33E-21,2.19E-19
WBGene00044086,68.67638729,0,137.3527746,Inf,Inf,1.85E-07,2.09E-06
WBGene00044113,967.2814913,0,1934.562983,Inf,Inf,1.15E-55,1.45E-53
WBGene00044189,77.28147239,0,154.5629448,Inf,Inf,5.61E-12,1.02E-10
WBGene00044194,13212.66445,0,26425.3289,Inf,Inf,4.45E-211,7.16E-208
WBGene00044359,349.4162051,0,698.8324101,Inf,Inf,1.43E-44,1.32E-42
WBGene00044518,45.69718482,0,91.39436964,Inf,Inf,1.97E-19,6.25E-18
WBGene00044545,34.40532535,0,68.8106507,Inf,Inf,2.56E-05,0.000215828
WBGene00045459,1021.005601,0,2042.011202,Inf,Inf,1.35E-113,4.07E-111
WBGene00086565,140.9551863,0,281.9103726,Inf,Inf,1.91E-25,8.27E-24
WBGene00194663,151.8945763,0,303.7891527,Inf,Inf,8.19E-12,1.46E-10
WBGene00195232,32.87019784,0,65.74039567,Inf,Inf,9.44E-05,0.000720538
WBGene00206460,38.89655731,0,77.79311462,Inf,Inf,7.91E-06,7.23E-05
WBGene00206478,333.5868865,0,667.1737731,Inf,Inf,1.79E-24,7.40E-23
WBGene00206495,197.0800185,0,394.160037,Inf,Inf,1.46E-18,4.30E-17
WBGene00206499,153.9744658,0,307.9489317,Inf,Inf,4.46E-36,3.07E-34
WBGene00206537,73.30808491,0,146.6161698,Inf,Inf,6.14E-07,6.54E-06
WBGene00219445,77.79971849,0,155.599437,Inf,Inf,1.52E-16,3.91E-15
WBGene00219446,126.2606148,0,252.5212296,Inf,Inf,1.33E-14,2.94E-13
WBGene00219447,420.5508647,0,841.1017295,Inf,Inf,6.53E-47,6.35E-45
WBGene00235118,224.9337328,0,449.8674656,Inf,Inf,2.07E-18,6.05E-17
WBGene00235309,15.14278559,0,30.28557118,Inf,Inf,0.000141278,0.001044019
WBGene00235317,143.5832287,0,287.1664573,Inf,Inf,3.09E-10,4.80E-09
WBGene00235324,144.5954139,0,289.1908279,Inf,Inf,1.31E-26,6.10E-25
WBGene00000628,99345.01594,5.553365044,198684.4785,35777.31285,15.12675741,1.39918238980569e-310,3.37E-306
WBGene00194768,11939.38844,0.910036854,23877.86685,26238.35149,14.67938946,7.02E-203,8.46E-200
WBGene00000614,75034.54474,7.373438752,150061.716,20351.65966,14.31285883,2.25E-296,1.08E-292
WBGene00000756,99605.03363,9.924395588,199200.1429,20071.76569,14.29287991,1.65E-306,1.98E-302
WBGene00000660,104296.4802,12.56849634,208580.3919,16595.49291,14.01850386,1.33E-302,1.07E-298
WBGene00000627,15083.77312,1.913217627,30165.63302,15766.96378,13.94461725,3.23E-212,5.99E-209
WBGene00019178,35232.59323,4.915625835,70460.27083,14333.93696,13.80714729,8.51E-270,2.93E-266
WBGene00000621,13480.04949,2.185515272,26957.91347,12334.80901,13.59044776,7.47E-208,1.13E-204
WBGene00000676,4630.723087,0.910036854,9260.536138,10176.00122,13.31288313,1.03E-154,4.89E-152
WBGene00219324,10115.09,2.185515272,20227.99449,9255.480731,13.17609221,8.40E-191,7.24E-188
WBGene00044193,12476.52989,2.823254481,24950.23653,8837.402614,13.1094067,2.48E-203,3.15E-200
WBGene00000648,4729.709196,1.275478418,9458.142914,7415.368839,12.85630274,1.49E-141,5.91E-139
WBGene00000593,146048.3809,39.59730433,292057.1645,7375.683005,12.84856094,1.42E-300,8.58E-297
WBGene00019016,20812.02484,8.283475607,41615.76621,5023.949871,12.29460635,1.31E-238,3.50E-235
WBGene00235092,2874.869461,1.547776063,5748.191145,3713.839025,11.85869557,1.97E-129,7.00E-127
WBGene00001693,15254.14715,8.376619525,30499.91768,3641.077118,11.83014958,2.34E-206,3.32E-203
WBGene00044385,7778.409995,4.371030544,15552.44896,3558.073732,11.79688069,2.36E-166,1.29E-163
WBGene00001729,8172.100616,4.64332819,16339.5579,3518.932377,11.78092207,1.49E-184,1.09E-181
WBGene00009001,8151.053307,4.915625835,16297.19099,3315.384762,11.69496059,5.80E-175,3.58E-172
WBGene00001734,21033.31239,12.74765007,42053.87714,3298.951329,11.68779178,5.71E-224,1.25E-220
WBGene00000612,8165.083586,5.101913671,16325.06526,3199.792531,11.64376265,1.97E-172,1.13E-169
WBGene00044589,16362.09432,12.19592067,32711.99273,2682.207733,11.38920526,4.48E-206,6.01E-203
WBGene00000851,4067.909575,3.640147417,8132.179002,2234.024634,11.12542938,4.76E-152,2.16E-149
WBGene00011427,1400.837244,1.275478418,2800.39901,2195.567538,11.1003782,7.97E-77,1.59E-74
WBGene00008853,3902.493446,3.640147417,7801.346745,2143.140332,11.0655106,4.10E-125,1.39E-122
WBGene00005005,5263.636549,5.374211317,10521.89889,1957.849863,10.93505442,1.94E-145,8.08E-143
WBGene00004742,1945.29619,2.185515272,3888.406865,1779.171674,10.79699001,6.20E-92,1.54E-89
WBGene00189961,6346.353797,7.373438752,12685.33415,1720.409511,10.7485363,1.45E-159,7.28E-157
WBGene00021964,1774.991663,2.457812917,3547.525512,1443.366778,10.49522224,8.61E-80,1.77E-77
WBGene00044293,2552.316269,3.733291335,5100.899247,1366.327669,10.41608779,1.25E-98,3.45E-96
WBGene00017743,19304.70265,30.23177225,38579.17353,1276.113528,10.31754097,1.28E-198,1.34E-195
WBGene00014037,394.6065662,0.637739209,788.5753932,1236.517031,10.2720664,7.52E-26,3.35E-24
WBGene00004996,2469.90587,4.005588981,4935.806151,1232.229811,10.26705563,2.07E-127,7.23E-125
WBGene00000682,37267.94148,69.1409981,74466.74195,1077.027292,10.07283909,7.49E-216,1.51E-212
WBGene00045398,479.0042009,0.910036854,957.098365,1051.713852,10.03852652,2.50E-55,3.10E-53
WBGene00002013,2246.149073,4.277886626,4488.020259,1049.120898,10.03496522,2.92E-145,1.19E-142
WBGene00015700,10138.43657,20.30024255,20256.57289,997.8488111,9.962677432,1.52E-172,8.94E-170
WBGene00018034,313.759996,0.637739209,626.8822527,982.9758684,9.941012189,2.76E-23,1.08E-21
WBGene00000617,77023.49429,157.8802926,153889.1083,974.7201871,9.928844314,7.73E-227,1.86E-223
WBGene00009892,15206.96786,33.05502673,30380.8807,919.1001705,9.844078296,5.85E-202,6.71E-199
WBGene00000659,6592.673603,14.6608677,13170.68634,898.3565373,9.811144321,1.23E-172,7.41E-170
WBGene00017218,2402.492444,6.191104253,4798.793783,775.1111251,9.598259349,6.03E-26,2.71E-24
WBGene00010183,731.7864931,1.913217627,1461.659769,763.9798778,9.57739083,2.07E-53,2.50E-51
WBGene00219546,9597.818585,25.49530014,19170.14187,751.9088525,9.554413977,8.62E-166,4.62E-163
WBGene00000723,19660.36475,52.43809831,39268.2914,748.8504096,9.548533744,1.63E-192,1.45E-189
WBGene00001732,16406.1251,45.41583291,32766.83437,721.4848276,9.494825246,8.51E-190,6.84E-187
WBGene00016369,323.9081958,0.910036854,646.9063548,710.857315,9.473416197,4.53E-58,6.10E-56
WBGene00010182,547.0951205,1.547776063,1092.642465,705.9435089,9.46340893,7.41E-32,4.29E-30
WBGene00001733,868.4605993,2.457812917,1734.463386,705.6938196,9.462898565,9.78E-45,9.14E-43
WBGene00011429,2096.177967,6.191104253,4186.16483,676.158026,9.40121665,3.15E-94,8.25E-92
WBGene00018059,304.1334114,0.910036854,607.3567859,667.3980104,9.382403575,6.71E-19,2.05E-17
WBGene00020497,31642.27984,96.62125745,63187.93842,653.9755338,9.353092853,2.01E-197,2.01E-194
WBGene00044547,7272.751534,22.66491155,14522.83816,640.7630634,9.323647176,1.76E-153,8.15E-151
WBGene00011508,3417.138232,10.65527872,6823.621185,640.3981883,9.322825416,2.12E-118,6.80E-116
WBGene00202498,2127.942989,6.92198738,4248.96399,613.8358476,9.26170909,6.79E-103,1.93E-100
WBGene00020832,4463.286387,15.11945318,8911.453322,589.4031495,9.203110959,4.78E-136,1.86E-133
WBGene00009339,1758.782911,6.284248171,3511.281574,558.7433021,9.126041822,8.00E-83,1.77E-80
WBGene00001728,348.5099036,1.275478418,695.7443287,545.4771472,9.091374946,2.36E-59,3.25E-57
WBGene00001718,691.4744803,2.550956836,1380.398004,541.1295026,9.07983009,8.92E-54,1.09E-51
WBGene00015583,165.8463146,0.637739209,331.05489,519.107004,9.019888143,2.54E-12,4.72E-11
WBGene00013351,958.1185683,3.826435253,1912.410701,499.7891183,8.96517568,3.24E-97,8.88E-95
WBGene00000731,14925.89962,61.53133275,29790.26791,484.1479387,8.919304142,6.80E-190,5.65E-187
WBGene00119204,305.5458206,1.275478418,609.8161628,478.1077863,8.901192091,1.01E-22,3.83E-21
WBGene00013961,152.1425103,0.637739209,303.6472813,476.1308025,8.895214155,7.26E-20,2.38E-18
WBGene00195182,888.5842487,3.826435253,1773.342062,463.4449415,8.856254143,1.48E-44,1.36E-42
WBGene00015578,434.9917666,1.913217627,868.0703156,453.7227253,8.82566711,2.22E-28,1.11E-26
WBGene00015679,929.2286178,4.098732899,1854.358503,452.4223824,8.821526494,7.45E-48,7.54E-46
WBGene00015993,8039.577983,36.05743493,16043.09853,444.9317751,8.797440323,8.23E-150,3.48E-147
WBGene00044659,139.7444278,0.637739209,278.8511164,437.2494469,8.772312749,6.38E-15,1.45E-13
WBGene00015830,338.8354079,1.547776063,676.1230398,436.835183,8.770945246,3.43E-42,2.92E-40
WBGene00019964,742.0336057,3.640147417,1480.427064,406.6942611,8.667800823,1.44E-52,1.69E-50
WBGene00001696,593.5682451,3.188696044,1183.947794,371.2952811,8.53642317,2.35E-41,1.92E-39
WBGene00015544,2607.951384,14.29542613,5201.607341,363.8651477,8.507260061,3.90E-21,1.36E-19
WBGene00077704,328.3086802,1.820073709,654.7972866,359.7641587,8.490907656,1.32E-19,4.26E-18
WBGene00003529,1485.347688,8.283475607,2962.411901,357.629097,8.48232031,9.28E-70,1.58E-67
WBGene00011753,11776.74385,67.0129562,23486.47475,350.4766255,8.453174419,1.52E-155,7.31E-153
WBGene00019851,152.643031,0.910036854,304.3760251,334.4656029,8.385714039,8.26E-25,3.48E-23
WBGene00013633,4258.527411,26.77077856,8490.284043,317.1474459,8.309009913,1.31E-114,4.06E-112
WBGene00007466,98.91635578,0.637739209,197.1949724,309.2094223,8.272440472,5.03E-13,9.91E-12
WBGene00000613,15145.58105,98.57054613,30192.59156,306.3043957,8.258822261,2.02E-179,1.39E-176
WBGene00008304,5882.592357,39.24613098,11725.93858,298.7794794,8.222937255,9.15E-125,3.06E-122
WBGene00015725,269.8700574,1.820073709,537.9200412,295.5484927,8.207251053,6.84E-52,7.89E-50
WBGene00000724,1283.312393,8.742061088,2557.882725,292.5949269,8.192760946,3.50E-56,4.48E-54
WBGene00008872,982.7093438,6.735699544,1958.682988,290.791324,8.183840416,5.36E-47,5.23E-45
